Start Time,End Time,English,The.Wild.Robot.-open subtile.srt,The.Wild.Robot.2024.1080p.10bit.BluRay.6CH.x265.HEVC-PSA [Fa].srt,The.Wild.Robot.2024.480p.BluRay.x264-RMTeam.Fa.srt,The.Wild.Robot.2024.WEB.DigiMoviez.FA.srt,The.Wild.Robot.2024.WEB.Fa.srt,The_Wild_Robot_2024.srt
44:40,44:42,The Alpha-113 processor,،پردازنده  آلفا ۱۱۳,‫پردازشگر آلفا-113 ‫ترکیبی از تمام دانش بشریت,‫پردازنده آلفا 113,‫پردازشگر آلفا-113,‫پردازنده آلفا 113,... پردازنده آلفا-113
44:42,44:45,represents the fusion of all human knowledge,نشون‌دهنده آینده دانش انسان‌هاست,‫پردازشگر آلفا-113 ‫ترکیبی از تمام دانش بشریت,نماد ترکیب خرد بشر با قوی‌ترین,‫ثمره ادغام دانش تمام بشر,نماد ترکیب خرد بشر با قوی‌ترین,... نماد آمیختگی دانش آنسان‌ها
44:45,44:47,with the most powerful reasoning device,با قویترین ابزار استدلالی که,‫با قدرتمندترین دستگاه استدلال ‫ساخته شده توسط نسل بشره,دستگاه مستدلیه,‫با قدرتمندترین دستگاه استدلالیـه که,دستگاه مستدلیه,... با قدرتمندترین دستگاه منطقی‌ـه
44:47,44:50,ever developed by humankind.,تا الان توسط بشر ساخته شده,‫با قدرتمندترین دستگاه استدلال ‫ساخته شده توسط نسل بشره,که بشر تا الان ساخته,تابه‌حال توسط نسل بشر تولید شده,که بشر تا الان ساخته,که تا حالا توسط انسان‌ها ساخته شده
44:50,44:52,I have a kid.,من یه بچه دارم,‫یه بچه دارم,من یه بچه دارم,‫من بچه دارم,من یه بچه دارم,من یه بچه دارم
44:54,44:55,Okay.,باشه,‫خیلی‌خب,خیلی‌خب,‫خیلی‌خب,خیلی‌خب,خیلی‌خب
44:55,44:58,May I run a diagnostic?,میتونم یه عیب‌یابی انجام بدم؟,‫میشه عیب‌یابیت کنم؟,عیب‌یابی انجام بدم؟,‫امکانـش هست عیب‌یابی انجام بدم؟,عیب‌یابی انجام بدم؟,می‌شه یه عیب‌یابی انجام بدم؟
44:58,45:00,I feel fine.,احساس بدی ندارم,‫حالم خوبه,حالم خوبه,‫حالـم خوبـه,حالم خوبه,حس و حال خوبی دارم
45:00,45:04,You should not feel anything at all.,تو اصلا نباید هیچ حسی داشته باشی,‫اصلاً نباید هیچ حس و حالی داشته باشی,تو نباید هیچ‌گونه حس و حالی داشته باشی,اصلاً نباید حالی داشته باشی,تو نباید هیچ‌گونه حس و حالی داشته باشی,تو اصلا نباید هیچ حسی داشته باشی
45:16,45:21,You overrode your programming?,برنامه‌نویسی خودت رو زیر پا گذاشتی؟,‫برنامه‌ریزیت رو بازنویسی کردی؟,برنامه‌ریزیت رو بازتعریف کردی؟,‫برنامه‌نویسیـت رو تغییر دادی؟,برنامه‌ریزیت رو بازتعریف کردی؟,برنامه‌ات رو عوض کردی؟
45:21,45:24,I have been overriding my code for months.,من ماه‌هاست که دارم کدم رو تغییر میدم,‫ماه‌هاست دارم برنامه‌هام رو بازنویسی می‌کنم,ماه‌هاست که دارم کدهام رو بازتعریف می‌کنم,‫ماه‌هاست که کدم رو تغییر دادم,ماه‌هاست که دارم کدهام رو بازتعریف می‌کنم,ماه‌هاست که دارم کُدم رو عوض می‌کنم
45:24,45:27,It was the only way to complete my task.,این تنها راه کامل کردن وظیفمه,‫این تنها راه برای کامل کردن وظیفه‌م بود,تنها راه تکمیل وظایفم همین بود,‫این تنها راه به پایان رسوندن ‫ماموریتـم بود,تنها راه تکمیل وظایفم همین بود,فقط این‌طوری می‌تونستم وظیفه‌ام رو تکمیل کنم
45:27,45:29,This is serious.,این مسئله جدیه,‫قضیه جدیه,مسئله جدیه,‫مسئله جدی‌ایـه,مسئله جدیه,قضیه جدی‌ـه
45:29,45:32,You are defective.,تو معیوب شدی,‫تو معیوبی,تو معیوب شدی,‫تو خراب شدی,تو معیوب شدی,معیوب هستی
45:32,45:33,"You are in the wrong place,",،به جای اشتباهی اومدی,‫در مکان اشتباهی قرار داری ‫و تبدیل به چیز اشتباهی شدی,تو در مکان اشتباه هستی,توی مکان اشتباهی هستی,تو در مکان اشتباه هستی,در مکان اشتباه هستی
45:33,45:36,and you have become the wrong thing.,و تبدیل به ربات اشتباهی شدی,‫در مکان اشتباهی قرار داری ‫و تبدیل به چیز اشتباهی شدی,و تبدیل به موجود اشتباهی شدی,‫و تبدیل به چیز اشتباهی شدی,و تبدیل به موجود اشتباهی شدی,و تبدیل به موجود اشتباهی شدی
45:36,45:38,You must return to factory.,باید به کارخونه برگردی,‫باید به کارخونه برگردی,باید به کارخونه برگردی,‫باید به کارخونه برگردی,باید به کارخونه برگردی,باید برگردی به کارخونه
45:38,45:40,Take this.,اینو بگیر,‫اینو بگیر,این رو بگیر,‫این رو بگیر,این رو بگیر,این رو بگیر
45:40,45:42,They will fix you.,اونا درستت میکنن,‫اونا درستت می‌کنن,اونا درستت می‌کنن,‫اون‌ها درستـت می‌‌کنن,اونا درستت می‌کنن,اونا درستت می‌کنن
45:42,45:48,"7134, that is where you belong.",،۷۱۳۴ تو به اونجا تعلق داری,‫واحد 7134، جای تو اونجاست,‫7134، تو به اونجا تعلق داری,‫7134، تو به اونجا تعلق داری,‫7134، تو به اونجا تعلق داری,‏7134، تو به اونجا تعلق داری
45:53,45:57,You need to let me know before you disappear like this.,قبل از اینکه اینجوری غیب بشی باید بهم خبر بدی,‫قبل از اینکه اینطوری ناپدید بشی ‫یه خبری بهم بده,قبل از اینکه اینجوری غیبت بزنه باید باهام هماهنگ کنی,‫باید قبل از اینکه یهویی غیبـت بزنه ‫بهم خبر بدی,قبل از اینکه اینجوری غیبت بزنه باید باهام هماهنگ کنی,باید قبل از اینکه این‌طوری غیب بشی، بهم بگی
45:57,46:00,Three things tried to eat me on the way here.,توی راه سه تا جونور نزدیک بود منو بخورن,‫توی راه سه تا چیز سعی کردن منو بخورن,توی راه اینجا، سه‌تا موجود نزدیک بود بخورنم,‫تو راه اینجا سه تا موجود می‌خواستن بخورنـم,توی راه اینجا، سه‌تا موجود نزدیک بود بخورنم,توی راه اینجا، نزدیک بود سه‌تا جانور من رو بخورن
46:01,46:03,Roz?,راز؟,‫راز؟,راز؟,‫رُز؟,راز؟,راز؟
46:03,46:05,We ruined everything.,ما همه چیزو خراب کردیم,‫همه‌چیز رو خراب کردیم,همه‌چیز رو خراب کردیم,‫ما همه‌چیز رو خراب کردیم,همه‌چیز رو خراب کردیم,همه‌چیز رو خراب کردیم
46:05,46:06,"Well, you did.",خب، تو اینکارو کردی,‫خب، تو خراب کردی,خب، تو خراب کردی,‫خب، تو کردی,خب، تو خراب کردی,خب، تو کردی
46:06,46:10,"You are not a goose expert, are you?",،تو اصلا کارشناس غاز نیستی مگه نه؟,‫تو متخصص غاز نیستی، مگه نه؟,تو متخصص غازها نیستی، درسته؟,‫تو متخصص غازها نیستی، نه؟,تو متخصص غازها نیستی، درسته؟,تو متخصص غازها نیستی، نه؟
46:10,46:11,I know how they taste.,میدونم چه مزه‌این؟,‫می‌دونم چه طعمی میدن,می‌دونم چه مزه‌ای دارن,‫فقط می‌دونم چه مزه‌ای دارن,می‌دونم چه مزه‌ای دارن,می‌دونم چه طعمی هستن
46:11,46:13,That's about it.,فقط همین,‫ولی فقط در همین حد,در همین حد اطلاعات دارم,‫در حد همین!,در همین حد اطلاعات دارم,جز این، دیگه چیزی نمی‌دونم
46:13,46:16,Oh. Is that...,...اون,‫این...؟,...اوه، این,‫اوه، این...,...اوه، این,... اوه، این
46:16,46:17,A working transmitter.,یه فرستنده فعاله,‫یه فرستنده‌ی سالمه,یه فرستنده سالمه,‫یک دستگاه مخابره سالمـه,یه فرستنده سالمه,یه فرستنده سالم‌ـه
46:17,46:20,It will call the ones that made me.,کسایی که منو ساختن رو صدا میکنه,‫کسایی که منو ساختن رو خبر می‌کنه,اونایی که خلقم کردن رو خبر می‌کنه,‫این با اشخاصی تماس می‌گیره ‫که من رو ساختن,اونایی که خلقم کردن رو خبر می‌کنه,به کسایی که من رو ساختن، خبر می‌ده
46:21,46:23,"So, you're getting out of here?",پس، تو داری از اینجا میری؟,‫پس، یعنی می‌خوای از اینجا بری؟,پس می‌خوای از اینجا بری؟,‫پس داری از اینجا میری؟,پس می‌خوای از اینجا بری؟,پس داری از اینجا می‌ری؟
46:23,46:25,I found out where I'm supposed to be.,جایی که باید باشمو پیدا کردم,‫فهمیدم باید کجا باشم,جایی که باید باشم رو پیدا کردم,‫فهمیدم که باید کجا باشم,جایی که باید باشم رو پیدا کردم,فهمیدم باید کجا باشم
46:25,46:28,I will fit in there.,در واقع من به اونجا تعلق دارم,‫من با اونجا سازگاری دارم,من به اینجا تعلق ندارم,‫من به اونجا تعلق دارم,من به اینجا تعلق ندارم,جای من، اونجاست
46:28,46:32,"Don't take this the wrong way, but I'm not sure",،بد برداشت نکنیا ولی فکر نکنم,‫ولی مطمئن نیستم دلم بخواد ‫جایی که تو باهاش سازگاری داری رو ببینم,،اشتباه برداشت نکنی‌ها ولی اصلا دلم نمی‌خواد,‫حرفـم رو اشتباه برداشت نکن، ‫اما مطمئن نیستم که,،اشتباه برداشت نکنی‌ها ولی اصلا دلم نمی‌خواد,اشتباه برداشت نکن ... اما مطمئنم دوست ندارم
46:32,46:35,I'd want to see the sort of place you actually fit in.,جایی که تو بهش تعلق داری همچین جای خوبی هم باشه,‫ولی مطمئن نیستم دلم بخواد ‫جایی که تو باهاش سازگاری داری رو ببینم,جایی که بهش تعلق داری رو ببینم,‫دلـم بخواد جایی رو ببینـم ‫که تو واقعاً بهش تعلق داری,جایی که بهش تعلق داری رو ببینم,جایی که بهش تعلق داری رو ببینم
46:35,46:40,I think they need me and they will fix me.,فکر کنم بهم نیاز دارن و تعمیرم می‌کنن,‫فکر کنم بهم نیاز دارن,به‌نظرم بهم نیاز دارن و درستم می‌کنن,‫فکر می‌کنم اون‌ها به من نیاز دارن ‫و من رو تعمیر می‌کنن,به‌نظرم بهم نیاز دارن و درستم می‌کنن,فکر کنم بهم نیاز دارن و درستم می‌کنن
46:40,46:44,Maybe there is someone small there,شاید اونجا هم جوجه‌ای باشه که,‫شاید یه کوچولویی اونجا باشه,شاید یک موجود کوچولو اونجا باشه,‫شاید یک آدم کوچیکی اونجا باشه,شاید یک موجود کوچولو اونجا باشه,... شاید یه موجود کوچولو اونجا باشه
46:44,46:46,that needs my help.,به کمکم نیاز داشته باشه,‫که به کمکم احتیاج داشته باشه,که به کمک نیاز داره,‫که به کمک من نیاز داره,که به کمک نیاز داره,که به کمکم نیاز داره
46:55,46:57,"Oh, no.",وای نه,‫اوه، نه,اوه، نه,‫اوه نه,اوه، نه,اوه نه
46:58,47:00,- Are those... - He's out of time.,...اونا - وقتش داره تموم میشه -,‫وقتی براش نمونده,...اونا - وقت نداره -,‫- اونا... ‫- وقتـش تموم شده,...اونا - وقت نداره -,... اونا - وقتش تموم شد -
47:00,47:01,"Well, come on!",خب، زودباش,‫خب، بجنب دیگه!,خب، زود باش,‫خب بزن بریم!,خب، زود باش,!خب، زودباش
47:02,47:03,We need to get him in the air.,باید پروازش بدیم,‫باید کاری کنیم پرواز کنه,باید پروازش بدیم,‫باید بفرستیمـش توی آسمون,باید پروازش بدیم,باید پروازش بدیم
47:03,47:07,I don't think he will ever let us help him again.,فکر نمیکنم اون دیگه بذاره بهش کمک کنم,‫فکر نکنم دیگه هیچوقت اجازه بده ‫کمکش کنیم,بعید می‌دونم دیگه بذاره کمکش کنیم,‫فکر نکنم اجازه بده که دوباره ‫کمکـش کنیم,بعید می‌دونم دیگه بذاره کمکش کنیم,فکر نمی‌کنم دیگه بذاره کمکش کنیم
47:17,47:19,Don't worry. We're his only friends.,نگران نباش ما تنها دوستاشیم,‫نگران نباش. ما تنها دوستاشیم,نگران نباش. ما تنها دوست‌هاشیم,‫نگران نباش. ‫ما تنها دوستاشیم.,نگران نباش. ما تنها دوست‌هاشیم,نگران نباش جز ما، هیچ دوست دیگه‌ای نداره
47:19,47:21,He has no choice. He has to say yes.,چاره‌ای نداره باید قبول کنه,‫چاره‌ای نداره ‫مجبوره قبول کنه,.چاره‌ای نداره باید قبول کنه,چاره‌‌ی دیگه‌ای نداره ‫باید قبول کنـه,.چاره‌ای نداره باید قبول کنه,چاره‌ای نداره باید قبول کنه
47:22,47:23,No!,نه,‫نه!,نه,‫نه!,نه,!نه
47:23,47:25,The mutation that made you small,تحولی که تو رو کوچیک کرده,‫جهشی که کوچیکت کرده ‫نباید تاثیری روی,جهش‌یافتگی‌ای که باعث کوچیکیت شده,‫جهش ژنتیکی‌ای که باعث شده ‫تو کوچیک باشی,جهش‌یافتگی‌ای که باعث کوچیکیت شده,... جهشی که باعث شده تو کوچک بشی
47:25,47:27,should not have an effect on your ability,نباید تاثیری روی تواناییِ تو,‫جهشی که کوچیکت کرده ‫نباید تاثیری روی,نباید تاثیری روی قابلیت پروازت,‫نباید روی توانایی‌هات,نباید تاثیری روی قابلیت پروازت,... نباید اثری روی تواناییت برای
47:27,47:28,to navigate the air.,برای پرواز داشته باشه,‫توانایی پرواز کردنت داشته باشه,داشته باشه,‫برای پرواز توی آسمون اثر بذاره,داشته باشه,حرکت در هوا داشته باشه
47:28,47:30,Do either of you know more about flying,هیچ کدوم شما راجب پرواز کردن,‫اطلاعات هیچکدومتون در مورد پرواز ‫از چیزی که در مورد شنا می‌دونستین بیشتره؟,اطلاعاتی که از پرواز کردن دارید,‫اطلاعاتی که درمورد پرواز دارین,اطلاعاتی که از پرواز کردن دارید,... اطلاعات‌تون از پرواز کردن
47:30,47:31,than you did swimming?,بیشتر از وضع شناتون بارتون هست؟,‫اطلاعات هیچکدومتون در مورد پرواز ‫از چیزی که در مورد شنا می‌دونستین بیشتره؟,بیش‌تر از اطلاعات‌تون درباره شناست؟,‫از اطلاعات‌تون درمورد شنا بیشتره؟,بیش‌تر از اطلاعات‌تون درباره شناست؟,بیش‌تر از اطلاعات‌تون از شناست؟
47:31,47:33,"Mmm, no.",نه,‫نه,هوم، نه,‫هوم، نه,هوم، نه,هوم ... نه
47:33,47:35,"Look, Roz, whatever task you think you're doing,",،ببین راز، هر وظیفه‌ای که داشتی,‫ببین، راز، هر وظیفه‌ای که فکر می‌کنی ‫داری انجام میدی، انجامش دادی تموم شد,ببین راز، هر وظیفه‌ای که به خیال خودت ...داری انجام می‌دی,‫ببین رُز، ماموریتی که باید انجام می‌دادی رو,ببین راز، هر وظیفه‌ای که به خیال خودت ...داری انجام می‌دی,ببین راز، نمی‌دونم با خودت فکر می‌کنی ... چه وظیفه‌ای داری
47:36,47:37,you're done.,دیگه کامل شده,‫ببین، راز، هر وظیفه‌ای که فکر می‌کنی ‫داری انجام میدی، انجامش دادی تموم شد,تکمیل شده,‫دیگه انجام دادی,تکمیل شده,اما وظیفه‌ات تمومه
47:37,47:40,- You can just leave. - Wow.,پس دیگه میتونی بری,‫می‌تونی بری,می‌تونی بری - وای -,‫- می‌تونی بری ‫- وای,می‌تونی بری - وای -,می‌تونی بری - وای -
47:40,47:42,And after all we've done for him.,بعد همه کارایی که واسه ایشون کردیم,‫اونم بعد از تمام زحماتی که براش کشیدیم,بعد از این همه زحمتی که براش کشیدیم,‫ما رو بگو این همه براش زحمت کشیدیم,بعد از این همه زحمتی که براش کشیدیم,چقدر نمک‌نشناس‌ـه
47:43,47:45,Are you gonna let him do that?,شما اجازه میدی اینجوری باهات رفتار کنه؟,‫می‌خوای اجازه بدی اینطوری کنه؟,اجازه می‌دی همچین کاری بکنه؟,‫همینطوری به حال خودش ولش می‌کنی؟,اجازه می‌دی همچین کاری بکنه؟,می‌خوای بذاری همچین کاری کنه؟
47:45,47:46,No.,نه,‫نه,نه,‫نه,نه,نه
47:46,47:49,Your life is not negotiable.,زندگیت قابل مذاکره نیست,‫زندگیت جای بحث نداره,سر زندگیت نمی‌شه چونه زد,‫زندگی تو که قابل‌مذاکره نیست,سر زندگیت نمی‌شه چونه زد,نمی‌شه سر زندگیت چونه زد
47:49,47:53,"If you are willing to do this, you can fly away",،اگه قبول کنی که میتونی پرواز کنی اونوقت هردوتامون,‫اگر حاضر باشی این‌کارو بکنی ‫می‌تونی پرواز کنی و بری,،اگر مایل به این کار باشی می‌تونی پرواز کنی و بری,‫اگه خودت تمایل داشته باشی این کار رو بکنی، ‫می‌تونی پرواز کنی و,،اگر مایل به این کار باشی می‌تونی پرواز کنی و بری,اگه می‌خوای این کار رو بکنی می‌تونی پرواز کنی و بری
47:53,47:57,and we can both go to where we belong.,میتونیم بریم به جایی که بهش تعلق داریم,‫و جفتمون می‌تونیم ‫بریم جایی که بهش تعلق داریم,و جفت‌مون می‌ریم به جایی که بهش تعلق داریم,‫هردومون بریم جایی که بهش تعلق داریم,و جفت‌مون می‌ریم به جایی که بهش تعلق داریم,و هر دومون می‌ریم جایی که بهش تعلق داریم
48:02,48:05,You really think we can do this?,واقعا فکر میکنی ما میتونیم؟,‫واقعاً فکر می‌کنی از پسش برمیایم؟,واقعا به‌نظرت از پسش برمیایم؟,‫واقعاً فکر می‌کنی از پسش بر میایم؟,واقعا به‌نظرت از پسش برمیایم؟,واقعا فکر کردی از پسش برمیایم؟
48:05,48:09,A Rozzum always completes its task.,یک رازوم همیشه وظیفه خودش رو تکمیل میکنه,‫یه رازم همیشه وظیفه‌ش رو تکمیل می‌کنه,یک رازوم، همیشه وظیفه‌ش رو تکمیل می‌کنه,‫یه رُزوم همیشه ماموریتش رو انجام میده,یک رازوم، همیشه وظیفه‌ش رو تکمیل می‌کنه,یه رازم همیشه به وظیفه‌اش عمل می‌کنه
48:15,48:17,♪ The unfamiliar road could be ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ جاده ناآشنا میتونه باشه ♪</b></font>",‫♪ مسیر ناشناخته می‌تونه همون‌جایی باشه ♪,,‫♪ مسیر نا آشنا می‌تونه ♪,,
48:17,48:21,♪ The same place you get lost and find yourself ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ جاییه که توش گم میشی و خودت رو پیدا میکنی ♪</b></font>",‫♪ که گم میشی و خودتو پیدا می‌کنی ♪,,‫♪ همونجایی باشه که تو خودت رو گم و ‫بعد پیدا می‌کنی ♪,,
48:23,48:24,"♪ There might be bumps, there might be bruises ♪","<font face=""Calibri"" color=""#afffed""><b>♪ ممکنه دست‌انداز داشته باشه ممکنه کبودی و کوفتگی داشته باشه ♪</b></font>",‫♪ شاید مسیر ناهموار باشه، شاید ضربه بخوری ♪,,‫♪ شاید یه چاله‌چوله‌ها و ‫سختی باشه ♪,,
48:25,48:27,♪ But at least you'll have a story to tell ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ ولی حداقل داستانی برای گفتن خواهی داشت ♪</b></font>",‫♪ ولی حداقل داستانی ‫ برای تعریف کردن پیدا می‌کنی ♪,,‫♪ اما حداقل یه داستان برای گفتن داری ♪,,
48:29,48:31,Ooh.,,‫آخ,اوه,‫اوه,اوه,اوه
48:31,48:33,♪ Time'll slip on by ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ زمان خواهد گذشت ♪</b></font>",‫♪ زمان عین برق و باد می‌گذره ♪,اوه,‫♪ اگه اینجا گیر بی‌افتی و ♪,اوه,
48:33,48:36,♪ If you're stuck here living life with too much caution ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ اگه اینجا پابند بشی و دست به عصا زندگی کنی ♪</b></font>",‫♪ اگر سر جات بمونی ‫و زیادی بااحتیاط زندگی کنی ♪,,‫♪ همش بخوای احتیاط کنی، ‫زمان به سرعت می‌گذره ♪,,
48:36,48:38,You just need more speed.,فقط باید سرعتت بیشتر باشه,‫فقط سرعت بیشتری لازم داری,فقط باید سرعتت رو بیش‌تر کنی,‫فقط سرعت بیشتری لازم داری,فقط باید سرعتت رو بیش‌تر کنی,باید سرعتت رو بیش‌تر کنی
48:38,48:40,♪ And I know you know that those wings ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ و میدونم که تو میدونی که اون بال‌ها ♪</b></font>",‫♪ و می‌دونم که می‌دونی اون بال‌ها ♪,فقط باید سرعتت رو بیش‌تر کنی,‫♪ و من مطئنم که می‌دونی ‫اون بال‌ها رو لازم داری ♪,فقط باید سرعتت رو بیش‌تر کنی,
48:40,48:42,♪ They weren't made for walking ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ برای راه رفتن ساخته نشدن ♪</b></font>",‫♪ برای راه رفتن ساخته نشدن ♪,,‫♪ واسه قدم زدن که ساخته نشدن ♪,,
48:42,48:44,- Ready? - I guess I have to be.,آماده‌ای؟ - مجبورم باشم -,‫- آماده‌ای؟ ‫- گمونم مجبورم باشم,آماده‌ای؟ - به‌گمونم باید باشم -,‫- آماده‌ای؟ ‫- به گمونم مجبورم که باشم,آماده‌ای؟ - به‌گمونم باید باشم -,آماده‌ای؟ - چاره دیگه‌ای ندارم -
48:46,48:47,"♪ Oh, it's safe ♪","<font face=""Calibri"" color=""#afffed""><b>♪ جایی که هستی ♪</b></font>",‫♪ اوه، جایی که هستی ♪,,‫♪ جایی که هستی ♪,,
48:47,48:49,♪ Where you are ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ امنه ♪</b></font>",‫♪ امنیت داری ♪,,‫♪ خیلی امن و راحتـه ♪,,
48:49,48:52,♪ But safe only gets you ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ ولی امن فقط تا یه جایی ♪</b></font>",‫♪ ولی با امنیت ♪,,‫♪ اما راحتی فقط می‌تونـه ♪,,
48:52,48:54,♪ So far ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ می‌برتت ♪</b></font>",‫♪ به جایی نمی‌رسی ♪,,‫♪ تا یه حدی کمکت کنـه ♪,,
49:12,49:15,- I don't know what to say. - Good.,نمیدونم باید چی بگم؟ - خوبه -,‫- نمی‌دونم چی بگم ‫- خوبه,نمی‌دونم چی بگم - خوبه -,‫- نمی‌دونم چی بگم ‫- خوبـه,نمی‌دونم چی بگم - خوبه -,نمی‌دونم چی بگم - خوبه -
49:15,49:20,♪ What if you look your fears right in the eye ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ چی میشه اگه تو چشم ترس‌هات نگاه کنی و ♪</b></font>",‫♪ چی میشه اگر مستقیم ‫توی چشم ترس‌هات نگاه کنی ♪,نمی‌دونم چی بگم - خوبه -,‫♪ چی میشـه اگه تو چشم‌های ترس‌هات ‫ نگاه کنی و ♪,نمی‌دونم چی بگم - خوبه -,
49:20,49:23,♪ Say you'll see them another time? ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ بگی که یه بار دیگه می‌بینمشون؟ ♪</b></font>","‫♪ و بهشون بگی ""بعداً می‌بینمتون""؟ ♪",,‫♪ بهشون بگی که باشن برای یه وقت دیگه؟ ♪,,
49:23,49:25,♪ What if for once you can find ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ چی میشه اگه برای یک بار هم که شده ♪</b></font>",‫♪ چی میشه اگر یک‌بارم که شده ♪,,‫♪ چی میشه اگه اون تیکه از وجودت ♪,,
49:26,49:27,- ♪ A piece of you ♪ - Whoa.,"<font face=""Calibri"" color=""#afffed""><b>♪ بتونی تیکه‌ای از خودت رو ♪</b></font>",‫♪ بتونی بخشی از وجودت رو پیدا کنی ♪,اوه,‫♪ که قایمش کردی رو ♪,اوه,
49:27,49:29,♪ That you've been hiding? ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ که پنهون کردی پیدا کنی؟ ♪</b></font>",‫♪ که داشتی مخفیش می‌کردی؟ ♪,اوه,‫♪ پیدا کنی؟ ♪,اوه,
49:29,49:30,♪ You've been hiding ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ تو پنهونی ♪</b></font>",‫♪ داشتی مخفیش می‌کردی ♪,,‫♪ که قایمش کردی ♪,,
49:30,49:33,♪ What if you chase your heart ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ چی میشه اگه قلبت رو ♪</b></font>",‫♪ چی میشه اگر دنبال خواسته‌ی قلبیت بری ♪,,‫♪ ،چی میشه اگه به حرف دلت گوش کنی ♪,,
49:33,49:34,"Okay, now!",خیلی‌خب، حالا,‫خیلی‌خب، حالا!,خیلی‌خب، حالا,‫خب، الان وقتشـه!,خیلی‌خب، حالا,!خیلی‌خب، حالا
49:34,49:36,"♪ Out to the edge, rewrite your stars ♪","<font face=""Calibri"" color=""#afffed""><b>♪ تا انتها دنبال کنی ستاره‌هاتو بازنویسی کنی ♪</b></font>",‫♪ دلتو به دریا بزنی، سرنوشتت رو عوض کنی ♪,خیلی‌خب، حالا,‫♪ سرنوشتت رو از نو بنویسی و ♪,خیلی‌خب، حالا,
49:36,49:38,- I'm up! - ♪ And be brave instead? ♪,"بالائم - <font color=""#afffed"" face=""Calibri""><b>♪ و به جاش شجاع باشی؟ ♪</b></font> -",‫- دارم پرواز می‌کنم! ‫- ♪ و به‌جاش شجاع باشی؟ ♪,پرواز کردم,‫- دارم پرواز می‌کنم! ‫- ♪ این دفعه دیگه شجاع باشی؟ ♪,پرواز کردم,!پرواز کردم
49:38,49:40,♪ What if you jump ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ چی میشه اگه بپری ♪</b></font>",‫♪ چی میشه اگر بپری ♪,پرواز کردم,‫♪ چی میشه اگه بپری و ♪,پرواز کردم,
49:40,49:43,♪ And the falling feels a little like you're flying? ♪,"<font face=""Calibri"" color=""#afffed""><b>♪ و افتادنت یه کوچولو مثل پریدن باشه؟ ♪</b></font>",‫♪ و سقوط کمابیش حس پرواز کردن رو بهت بده؟ ♪,,‫♪ افتادنت یه کوچولو حس پرواز بهت بده؟ ♪,,
49:43,49:46,"- Whoa, whoa! - ♪ Like you're flying ♪","<font face=""Calibri"" color=""#afffed""><b>♪ مثل پریدن ♪ -</b></font>",‫♪ حس پرواز کردن رو بهت بده ♪,اوه,‫♪ حس پرواز بهت بده ♪,اوه,!وای، وای
49:46,49:48,I do not know what to do next.,نمیدونم بعدش باید چیکار کنم,‫نمی‌دونم حالا چیکار کنم,نمی‌دونم حالا باید چی کار کنم,‫دیگه بعدش رو نمی‌دونم باید چی‌کار کنم,نمی‌دونم حالا باید چی کار کنم,نمی‌دونم حالا چی کار کنم
49:55,49:57,- Roz? - I'm fine.,راز؟ - من خوبم -,‫حالم خوبه,راز؟ - خوبم -,‫- رُز؟ ‫- چیزیم نیست,راز؟ - خوبم -,راز؟ - خوبم -
49:57,50:00,Go again.,یه بار دیگه,‫دوباره امتحان می‌کنیم,یه‌بار دیگه,‫از اول,یه‌بار دیگه,دوباره
50:02,50:05,It's no use. They're too small.,فایده‌ای نداره. خیلی کوچیکه,‫فایده‌ای نداره. زیادی کوچیکن,فایده نداره، اونا خیلی کوچیکن,‫فایده نداره. ‫بال‌هاش خیلی کوچیکن.,فایده نداره، اونا خیلی کوچیکن,فایده‌ای نداره خیلی کوچکن
50:05,50:07,You can't be up there with him.,تو نمیتونی تو آسمون باهاش باشی,‫نمی‌تونی همراهش توی آسمون باشی,نمی‌تونی باهاش پرواز کنی,‫اون بالا که نمی‌تونی کنارش باشی,نمی‌تونی باهاش پرواز کنی,نمی‌تونی باهاش پرواز کنی
50:07,50:09,Then we'll find someone who can.,پس یکی رو پیدا میکنیم که بتونه,‫پس یکی رو پیدا می‌کنیم که بتونه,پس یکی رو پیدا می‌کنیم که بتونه,‫پس یکی رو پیدا می‌کنیم که بتونـه,پس یکی رو پیدا می‌کنیم که بتونه,پس یکی رو پیدا می‌کنیم که بتونه
50:10,50:11,You home?,خونه‌ای؟,‫خونه‌ای؟,خونه‌ای؟,‫صاحب‌خونه؟,خونه‌ای؟,خونه‌ای؟
