Start Time,End Time,English,How to Train Your Dragon- open subtitle.srt,How.to.Train.Your.Dragon.2025.AMZN.WEB-DL.Fa[UTF-8].srt
42:20,42:22,I could’ve sworn you had...,,...می‌تونم قسم بخورم که تو
42:24,42:25,...teeth.,,دندون داشتی
42:30,42:32,I don’t have any more.,,دیگه ندارم
42:54,42:55,Thanks?,آفرين- اميدوارم تو يه کم از من موفق تر بوده باشي-,ممنون؟
43:03,43:06,"Oh, come on. You’re kidding, right?",نو که اومد به بازار، کهنه ميشه دل آزار، درسته- هيچ کس براي اون آدم پر دردسر دلش تنگ نميشه-,آه بی‌خیال. داری شوخی می‌کنی، نه؟
43:20,43:21,Mmm.,ميتوني شجاعانه توي روستا قدم بزني درحاليکه طرفدارهاش به سمتت هجوم نيارن؟,هممم
43:22,43:24,Hmm?,هيکاپ؟- کي فکرش رو ميکرد، هان؟-,اهمم؟
47:04,47:06,"And then he turned and grabbed me arm,",همه چيزهايي که در مورد شما ميدونيم اشتباهه,بعدش برگشت و دستم رو گرفت
47:06,47:08,"and with one twist,",همه چيزهايي که در مورد شما ميدونيم اشتباهه,و با یه چرخش
47:08,47:11,he took my hand clean off and he swallowed it whole.,,دستم رو کاملاً قطع کرد و بلعید
47:11,47:13,"Yeah, he must have spread the word around,",,آره، حتماً خبرش رو پخش کرد
47:13,47:17,"’cause within a month, another one had taken my leg.",,چون در عرض یه ماه، یکی دیگه پام رو قطع کرد
47:17,47:18,Probably a Skrill.,!بابا، شما برگشتين,احتمالاً یه اسکریل بود
47:18,47:21,"Serrated teeth, jaw strength 17.",...گابر اينجا نيست، پس,دندون‌های تیز و قدرت آرواره‌ی 17
47:21,47:23,"I’ll avenge your fallen limbs, big guy.",ميدونم,انتقام اندام‌های قطع شده‌ت رو می‌گیرم، گنده‌بک
47:23,47:25,I’ll chop off the hands and feet,اومدم که تو رو ببينم,دست‌ها و پاهای هر
47:25,47:27,- of every dragon that I see. - Nah.,واقعاً؟- تو خيلي راز نگهدار هستي-,اژدهایی که ببینم رو قطع می‌کنم - نه -
47:29,47:31,It’s the wings and the tail you want.,واقعاً؟,باید دنبال بال‌ها و دمشون باشین
47:31,47:34,"If they can’t fly, they can’t get away.",فکر ميکردي تا چه مدت ميتوني اين راز رو از من مخفي نگه داري؟,اگه نتونن پرواز کنن، نمی‌تونن در برن
47:34,47:37,A downed dragon is a dead dragon.,امکان نداره که اتفاقي تو اين جزيره بيافته و من در موردش نشنوم,یه اژدهای زمین‌گیر شده یه اژدهای مرده‌ست
47:37,47:40,Anyone can get by without the other bits.,امکان نداره که اتفاقي تو اين جزيره بيافته و من در موردش نشنوم,همه‌شون می‌تونن بدون بقیه‌ی چیزا زندگی کنن
47:40,47:41,I’m gonna lose all of my limbs.,امکان نداره که اتفاقي تو اين جزيره بيافته و من در موردش نشنوم,من تمام اندام‌هام رو از دست میدم
47:42,47:44,I volunteer Ruffnut to lose at least one limb.,پس، بيا با هم صحبت کنيم...در مورد اون اژدها,من رافنات رو داوطلب می‌کنم که حداقل یه اندامش رو از دست بده
47:44,47:45,Huh?,پس، بيا با هم صحبت کنيم...در مورد اون اژدها,ها؟
47:46,47:47,What?,پس، بيا با هم صحبت کنيم...در مورد اون اژدها,چیه؟
47:47,47:48,We’re twins. Your pain is my pain.,...اوه، خدايان,ما دوقلوییم. درد تو، درد منم هست
47:48,47:50,You’re twins?,...بابا، من متأسفم، من,شما دوقلوئین؟
47:50,47:52,Even our own mother can’t tell us apart.,...ميخواستم بهتون بگم. فقط نميدونستم چطوري,حتی مادرمون هم نمی‌تونه ما رو از هم تشخیص بده
47:52,47:54,It’s uncanny.,...ميخواستم بهتون بگم. فقط نميدونستم چطوري,با هم مو نمی‌زنین
47:54,47:55,There we go.,...ميخواستم بهتون بگم. فقط نميدونستم چطوري,بفرما
47:55,47:57,Astrid’s got the right idea.,,استرید فکر خوبی کرد
47:57,47:59,Get your sleep while you can.,,وقتی که می‌تونین استراحت کنین
48:00,48:02,"Soon, Stoick will be back.",شما ناراحت نيستين؟- !چي؟ من منتظر يه همچين چيزي بودم-,به زودی استویک برمی‌گرده
48:02,48:05,And one of you will be chosen to kill the dragon.,شما ناراحت نيستين؟- !چي؟ من منتظر يه همچين چيزي بودم-,و یکی از شما انتخاب می‌شین تا اژدها رو بکشه
48:05,48:08,Question is: Who?,"فقط اوضاع بهتر شد حالا بايد صبر کني تا موقعي که براي اولين بار دل و روده ""نادر"" رو از شکمش بريزي بيرون",سوال اینه که کی؟
48:49,48:50,Toothless!,,!بی‌دندون
48:52,48:53,Brought breakfast.,من چيزي برات آوردم که امنيتت رو توي ميدان تضمين ميکنه,صبحونه آوردم
49:00,49:03,"Huh? What do you think, bud?",مادرت ميخواست که تو اينو داشته باشي,خب نظرت چیه رفیق؟
49:03,49:04,Okay.,اين نيمي از زره اونه,بسیارخب
49:06,49:08,We got some cod...,يه مجموعه جادويي اونو...اونو نزديک تو نگه ميداره، ميدوني؟,یه خرده روغن‌ماهی داریم
49:09,49:11,...some salmon,يه مجموعه جادويي اونو...اونو نزديک تو نگه ميداره، ميدوني؟,یه خرده ماهی‌ آزاد
49:11,49:13,and a whole smoked eel.,اين رو با افتخار بپوش. تو لياقتش رو داري,و یه مارماهی دودی شده
49:13,49:15,"Whoa, uh, uh, uh...",اين رو با افتخار بپوش. تو لياقتش رو داري,هی، هی، هی
49:15,49:17,No eel! Scratch the eel!,تو سر قولي که به من داده بودي، موندي,!بیخیال مارماهی !می‌ندازیمش دور
49:19,49:23,"Yeah, I, uh, can’t say I love it, either.",من واقعاً بايد برم بخوابم,آره، منم... چندان ازش خوشم نمیاد
49:28,49:29,That’s it.,تو خونه مي بينمت ممنون به خاطر صحبتي که با من داشتي و...,آفرین
49:29,49:31,Stick to the good stuff.,تو خونه مي بينمت ممنون به خاطر صحبتي که با من داشتي و...,ماهی‌های خوشمزه بخور
49:32,49:36,"I’ll just be back here,",اميداوارم که از کلاه خوشت بياد,منم میرم این پشت
49:36,49:38,minding my own business.,خوب، شب خوش,سرم به کار خودمه
49:41,49:43,Okay.,,بسیارخب
50:02,50:05,Okay. Okay.,,بسیارخب
50:08,50:11,Whew. Okay. Not bad.,!اين دفعه !ديگه حتماً اين دفعه,بسیارخب، بدک نیست
50:11,50:12,It could work.,!اين دفعه !ديگه حتماً اين دفعه,ممکنه کار کنه
50:12,50:14,If it’s... Whoa! Okay!,!اين دفعه !ديگه حتماً اين دفعه,!اگه... وای
50:14,50:17,"Toothless, no! Oh, gods!",,!بی‌دندون! نه! یا خدایان
50:20,50:21,Toothless!,,!بی‌دندون
50:21,50:21,"Oh, gods!",نه! نه، بچه نيمه غول,!یا خدایان
50:32,50:34,It’s working!,چي؟ دقيقاً براي چه کاري ديرت شده؟,!کار می‌کنه
50:35,50:37,Yeah! Whoo!,"باشه، ساکت باشين اِلدر"" تصميم گرفته""",!آررررره! یوهوووو
50:44,50:47,Yeah! Whoo!,,!آررررره! یوهوووو
50:47,50:49,Today is all about teamwork.,!اوه، تو موفق شدي، تو موفق شدي، هيکاپ !تو موفق شدي که اژدها رو بکُشي,درس امروز کار گروهیه
50:49,50:54,"If you work together, you might just survive.",!اوه، تو موفق شدي، تو موفق شدي، هيکاپ !تو موفق شدي که اژدها رو بکُشي,اگه با هم کار کنین ممکنه زنده بمونین
50:55,50:59,"You see, a wet dragon head cannot light its fire.",بله، بله، من نميتونم صبر کنم- ...من خيلي-,می‌بینین، سر خیس یه اژدها نمی‌تونه آتیش درست کنه
50:59,51:02,"But a Hideous Zippleback is extra tricky,",بله، بله، من نميتونم صبر کنم- ...من خيلي-,اما زیپلبک مخوف خیلی کلکه
51:02,51:05,’cause one head breathes gas and the other head lights it.,اينجا رو ترک مي کنيم. ما داريم اينجا رو ترک مي کنيم,چون یه سرش گاز پخش می‌کنه و سر دیگه آتیشش می‌زنه
51:05,51:08,Your job is to know which is which.,مثل اينکه من و تو قراره به يه تعطيلات کوچيک بريم,کارتون اینه که بفهمیم کدوم سر کدوم کارو می‌کنه
51:09,51:10,Good luck.,براي هميشه,موفق باشین
51:13,51:17,Razor-sharp fangs that inject venom for predigestion.,چي...تو اينجا چيکار ميکني؟,دندون‌های تیز و برنده‌ای که برای قبل از هضم سم تزریق می‌کنن
51:17,51:20,- Prefers to keep its victims... - Shh!,چي...تو اينجا چيکار ميکني؟,...اون ترجیح میده که قربانی‌هاش - ششش -
51:20,51:22,...conscious.,من ميخوام بدونم چه خبره,هوشیار باشن
51:22,51:25,"You know, I’m kind of glad we got partnered.",هيچ کس به خوبي تو نمي تونه اين کار رو بکنه,می‌دونی خوشحالم که هم‌تیمی هستیم
51:25,51:28,Us girls got to stick together.,حرف بزن- ...من...من-,ما دخترا باید بچسبیم به هم
51:28,51:30,- Until I have to take you out. - Shush.,...تعليم؟ من,تا زمانی که مجبور بشم بندازمت بیرون - هیسسسس -
51:30,51:32,I think I’ve pretty much won Astrid over.,بهتره که اين رو بهت تعليم نداده باشه,فکر کنم دیگه عملاً دل استرید رو به دست آوردم
51:32,51:34,"I mean, she can barely even look at me.",من ميدونم. اين واقعاً بده ...اما ميدوني، اين,یعنی حتی نمی‌تونه بهم نگاه کنه
51:34,51:37,You came to the right man for advice.,من ميدونم. اين واقعاً بده ...اما ميدوني، اين,اومدی پیش آدم درست برای مشاوره
51:37,51:38,- I didn’t ask... - If there’s one thing,حق با توئه. حق با توئه. من توسط کُلي دروغ احاطه شده ام,...من که نخواستم - ...اگه فقط یه چیز باشه که -
51:39,51:41,"the Viking girl brain can’t resist, it’s...",حق با توئه. حق با توئه. من توسط کُلي دروغ احاطه شده ام,ذهن یه دختر وایکینگ نمی‌تونه تحمل کنه ...اون
51:41,51:42,Look out!,حق با توئه. حق با توئه. من توسط کُلي دروغ احاطه شده ام,!مراقب باش
51:44,51:47,"- Hey! - It’s us, geniuses.",پس، دستم رو خوندي. حالا وقتشه. همه ميدونن,!هی - !ماییم نابغه‌ها -
51:47,51:48,Lightning reflexes.,منو بکِش عقب. ادامه بده. همينه اوه. چرا اينکار رو کردي؟,عکس‌العمل‌هام برق‌آسان
51:48,51:49,"I see hideous heads, I strike.",منو بکِش عقب. ادامه بده. همينه اوه. چرا اينکار رو کردي؟,تا سرهای زشت ببینم، حمله می‌کنم
51:50,51:51,Ow.,منو بکِش عقب. ادامه بده. همينه اوه. چرا اينکار رو کردي؟,آخ
51:51,51:53,Whoa.,!اين به خاطر دروغهات بود,وای
51:53,51:55,"Uh, make that one hideous head, Astrid.",...و اين هم !به خاطر همه چيزهاي ديگه,بهتره بگیم یه سر زشت، استرید
51:59,52:01,Save yourselves!,!بخواب رو زمين,!خودتون رو نجات بدین
52:02,52:04,"Also known to toy with its victims,",!بدو! بدو,ضمناً معروفه که با قربانی‌هاش بازی می‌کنه
52:04,52:06,dismembering them limb from limb.,نه! نه! همه چي مرتبه. همه چي مرتبه اون يه دوسته,اندام‌هاش رو دونه‌دونه قطع می‌کنه
52:06,52:08,Will you please stop that?,نه! نه! همه چي مرتبه. همه چي مرتبه اون يه دوسته,میشه لطفاً بس کنی؟
52:10,52:12,Fishlegs!,,!فیش‌لگز
52:14,52:16,Wrong head.,من اونو ترسوندم؟,.سر اشتباهی بود
52:19,52:21,"Get out of there, Hiccup!",آستريد، بي دندون بي دندون، آستريد,!بزن به چاک، هیکاپ
52:23,52:24,"Oh, come on.",آستريد، بي دندون بي دندون، آستريد,بجنب
52:34,52:37,Yeah. Back!,,!آره. برین عقب
52:38,52:41,Run... Hiccup.,"اوه، ""اودين"" بزرگ! اينکار رو با من نکن ...اوه، اين",فرار کن... هیکاپ
52:41,52:43,Don’t make me tell you again! Yeah.,"اوه، ""اودين"" بزرگ! اينکار رو با من نکن ...اوه، اين",مجبورم نکنین دوباره بهتون بگم! آره
52:43,52:45,"Yeah, that’s right. Back in your pen.",,آره، درسته برگردین به آغل‌تون
52:49,52:51,"Now, think about what you’ve done.",,حالا به کاری که کردین فکر کنین
53:09,53:12,"So, are we done today?",,خب، آموزش امروز تموم شد؟
53:12,53:15,"J-Just because I have some things I need to, uh...",,...آخه چون... یه کارهایی هست که باید
53:16,53:19,"Yeah, I’m gonna... I’m gonna see you guys tomorrow.",,آره، فردا... فردا می‌بینمتون بچه‌ها
53:26,53:27,Huh?,بي دندون، پايين خيلي آروم,چطوره؟
53:29,53:30,Hey.,مي بيني، چيزي براي ترسيدن نيست,هی
53:30,53:32,"Oh, come on.",مي بيني، چيزي براي ترسيدن نيست,بیخیال
53:32,53:33,Just try it.,,فقط امتحانش کن
53:43,53:45,Whoa!,اون معمولاًَ اينطوري نيست !اوه، نه,!واااای
53:45,53:47,"Oh, I’m gonna die!",,!وای. الانه که بمیرم
53:48,53:50,"Whoa, whoa, no!",,!وای وای نه
53:52,53:53,"No, please!",بي دندون، داري چيکار ميکني؟ !مي خوايم که اون ما رو دوست داشته باشه,!نه. خواهش می‌کنم
53:53,53:56,Just kind of angle yourself.,بي دندون، داري چيکار ميکني؟ !مي خوايم که اون ما رو دوست داشته باشه,فقط باید جهتت رو درست کنی
53:56,53:58,Whoa!,!و حالا داره دور خودش مي چرخه,!وااااای
54:02,54:04,"Whoa, whoa, no!",باشه، متأسفم، متأسفم فقط منو از دستش خلاص کن,!وااااای! وااااای! نه
54:06,54:08,"Oh, come on!",باشه، متأسفم، متأسفم فقط منو از دستش خلاص کن,!بیخیال
54:23,54:25,- Out of my way. - Move!,,از سر راهم برو کنار - !تکون بخور -
54:25,54:27,"Move, move, move, move, move, move!",,برو، برو، برو برو، برو، برو
54:27,54:28,Watch yourselves. Get in its blind spot.,,مراقب خودتون باشین برین تو نقطه‌ی کورش
54:29,54:30,I got it! It’s mine!,,!گرفتمش! مال منه
54:30,54:32,"No, don’t bring it over here!",,!نه، برش نگردون این سمت
54:44,54:46,"Uh, little guy. What is his name again?",,هی کوچولو. گفتی اسمش چیه؟
54:47,54:49,- I don’t remember. - Hey. Slow down.,,یادم نیست - هی، آروم -
54:49,54:51,- Are you trying to show us up? - N-No.,,داری سعی می‌کنی ما رو تحقیر کنی؟ - نـ... نه -
54:51,54:52,I’ve never seen someone take down a Gronckle like that.,,تا حالا کسی رو ندیدم که اینطوری یه گرانکل رو ضربه‌فنی کنه
54:53,54:54,"I mean, I do it all the time, but how did you learn?",,،البته این کار همیشگی منه ولی تو چطور روشش رو یاد گرفتی؟
54:54,54:56,Learn what? What exactly was that?,,چی رو یاد گرفته؟ تو دقیقاً چیکار کردی؟
54:57,54:59,"Okay, see, I-I’d love to explain.",,خب می‌دونین، خیلی دوست دارم توضیح بدم
54:59,55:01,"It’s just, I left my axe back in-in the ring.",,ولی یادم افتاد که تبرم رو در میدان مبارزه جا گذاشتم
55:01,55:03,Who’s a good boy? Who’s a good boy?,,پسر خوب کیه؟ پسر خوب کیه؟
55:03,55:05,"Whoa, okay.",,وای، خب
55:05,55:07,"Yeah, yeah? You itchy?",,آره، آره، تنت می‌خاره؟
55:07,55:09,Is that the spot?,,همین جا؟
55:43,55:45,Hiccup.,,هیکاپ
55:49,55:50,"Yo, there he is.",,اومدش
55:50,55:52,"Hey, Hiccup.",,هی هیکاپ
55:52,55:54,- Okay. - Hiccup. W-W-Wait.,,بسیارخب - هیکاپ، وایســـــا -
55:54,55:56,- I have a proper question. - So I’m thinking that...,باشه، راضي شدم. خيلي باحاله,یه سوال جدی دارم - ...داشتم فکر می‌کردم -
55:56,55:58,All it needs to be is you and me in the ring.,باشه، راضي شدم. خيلي باحاله,تنها چیزی که نیازه اینه که من و تو در میدان مبارزه هم‌تیمی باشیم
56:07,56:09,A Terrible Terror!,خوب، حالا چي؟,!بلای وحشتناک
56:16,56:18,It’s like the size of my...,يادم ننداز,...این که اندازه‌ی اونجای
56:19,56:20,Get it off!,بي دندون، چه خبره؟,!ازم جداش کنین
56:21,56:22,Get it off! Get it off!,واو، چي شده؟,!ازم جداش کنین !ازم جداش کنین
57:49,57:51,Ow.,,آخ
58:06,58:08,And the other ships?,,بقیه‌ی کشتی‌ها چی؟
58:20,58:21,Dad!,اون...چيه؟,!بابا
58:22,58:23,I got it.,اون...چيه؟,گرفتمش
58:24,58:25,I missed you.,,دلم برات تنگ شده بود
58:25,58:27,"In, like, a super manly way.",,یعنی به شکل خیلی مردونه‌ش
58:27,58:30,I got so much to tell you about the Trial of Flame.,,خیلی چیزها درباره‌ی آزمون آتش باید بهت بگم
58:30,58:32,It’s basically between... Dad?,!خيلي خوب، رفيق، بايد از اينجا بريم بيرون. حالا,الان رقابت بین من... بابا؟
58:33,58:35,Dad?,,بابا؟
58:36,58:37,Da...,,...با
58:37,58:39,"Okay, I’ll see you at home.",,بسیارخب، تو خونه می‌بینمت
58:39,58:41,"So, no nest, then?",,پس، خبری از لونه نشد؟
58:41,58:44,Not even close.,نه، نه، اين کاملاً منطقيه اين درست مثل يه کندوي بزرگه,حتی نزدیکش هم نشدیم
58:44,58:46,I hope you had more success.,نه، نه، اين کاملاً منطقيه اين درست مثل يه کندوي بزرگه,امیدوارم تو موفقیت‌های بیشتری به دست آورده باشی
58:46,58:47,"Well, if by success,",اونا کارگرن و اون هم ملکه اوناست,...خب، اگه منظورت از موفقیت
58:48,58:49,"you mean your parenting troubles are over,",اونا کارگرن و اون هم ملکه اوناست,اینه که دردسرهای نگهداری از بچه‌ت تموم شده
58:49,58:51,"then, uh, yeah.",اون همشون رو کنترل مي کنه بزن بريم بابات رو پيدا کنيم,باید بگم که آره
58:53,58:55,"Did you hear the news, Chief?",نه، هنوز نه اونا بي دندون رو ميکُشن,خبرها رو شنیدی رئیس؟
58:55,58:57,- Everyone is so relieved. - Good riddance to old Hiccup.,نه، هنوز نه اونا بي دندون رو ميکُشن,همه خیالشون راحت شد - خدا هیکاپ قدیمی رو بیامرزه -
58:58,58:59,Aye.,آستريد. ما بايد در اين مورد با دقت فکر کنيم,آره
58:59,59:01,No one will miss that nuisance.,هيکاپ، ما الان آشيانه اژدهاها رو پيدا کرديم,هیچکس دلش برای دردسرهاش تنگ نمیشه
59:03,59:06,Hiccup is...,اين چيزيه که ما دنبالش بوديم درست از زماني که اولين وايکينگها اينجا کشتيراني ميکردن,...هیکاپ
59:06,59:07,gone?,و تو مي خواي که اين رو مثل يه راز نگه داري؟,از پیشمون رفته؟
59:07,59:09,Yeah.,و تو مي خواي که اين رو مثل يه راز نگه داري؟,آره
59:09,59:11,"Yeah, most afternoons, but who can blame him?",براي اينکه از حيوون دست آموزت، يه اژدها، محافظت کني؟ جدي ميگي؟,آره، اکثر بعدازظهرها میره ولی مگه تقصیری هم داره؟
59:11,59:13,The life of a celebrity can be very rough.,براي اينکه از حيوون دست آموزت، يه اژدها، محافظت کني؟ جدي ميگي؟,زندگی آدم‌های مشهور می‌تونه خیلی سخت باشه
59:13,59:14,He can barely walk through the village,آره,تا می‌خواد دو قدم توی روستا راه بره
59:15,59:17,without being swarmed by his army of new fans.,آره,لشکر طرفدارهای جدیدش می‌ریزن سرش
59:19,59:21,Who would’ve thought he has this...,,...کی فکرش رو می‌کرد اینقدر
59:22,59:24,way with the beasts?,باشه. پس بايد چکار کنيم؟,خوب قلق جونورها دستشه؟
59:36,59:37,"All right, bud.",,خیلی‌خب، رفیق
59:38,59:40,We’re gonna take this nice and slow.,,آروم و بااحتیاط پیش میریم
59:42,59:43,Here we go.,اينم به خاطر همه چيزهاي ديگه بود,بزن بریم
59:43,59:44,Position three.,,حالت سه
59:45,59:46,"Uh, no, four.",,نه، حالت 4
60:02,60:04,You ready?,خوب، من ميتونم دوباره چهره ام رو به مَردم نشون بدم,آماده‌ای؟
60:18,60:20,Come on. Come on.,خوب، من دست و پاش رو مي بستم و با کشتي از اينجا اخراجش ميکردم، به جرم ديوانه شدن,بجنب، بجنب
60:36,60:38,"Yeah, look at us!",!امروز پسر من يه وايکينگ ميشه,!ایول، ببین چه می‌کنیم
60:38,60:40,Whoa!,!امروز اون يکي از ما ميشه,!ای وای
60:41,60:44,My fault. My fault.,!امروز اون يکي از ما ميشه,تقصیر من بود تقصیر من بود
60:44,60:46,"Yeah, yeah, I’m on it.",,باشه، باشه، حواسم هست
60:46,60:47,Position five.,مراقب اون اژدها باش,حالت 5
60:50,60:52,"Come on, bud.",ميخواي چکار کني؟,بجنب رفیق
60:56,60:59,"Yeah. Go, baby!",آستريد، اگه اتفاق بدي افتاد مطمئن شو که اونا بي دندون رو پيدا نمي کنن,!آره. برو جیگر
60:59,61:01,"Oh, this is amazing!",آستريد، اگه اتفاق بدي افتاد مطمئن شو که اونا بي دندون رو پيدا نمي کنن,!اوه، محشره
61:01,61:02,The wind in my...,آستريد، اگه اتفاق بدي افتاد مطمئن شو که اونا بي دندون رو پيدا نمي کنن,...باد داره می‌خوره به
61:03,61:05,Cheat sheet! Stop!,اينکار رو ميکنم. فقط بهم قول بده که اتفاق بدي نمي افته,!برگه‌ی راهنمام! وایسا
61:09,61:12,"Oh, gods!",تا حد مرگ بزنش,!یا خدایان
62:20,62:21,Yeah!,,!ایول
62:34,62:34,Son!,!نبرد رو متوقف کنين,!پسرم
62:35,62:36,"Dad! Uh, you’re back.",نه! ميخوام که همتون اين رو ببينين,!بابا! برگشتی
62:36,62:38,"Uh, uh, oh... Okay, uh, Gobber’s not here,",نه! ميخوام که همتون اين رو ببينين,اوه... خب، گابر اینجا نیست
62:39,62:41,"- so, um... - I know.",اونا اونطوري که ما فکر مي کنيم، نيستن,...پس - می‌دونم -
62:43,62:44,Came looking for you.,ما نبايد اونا رو بکُشيم,اومدم با تو حرف بزنم
62:45,62:47,"You-you-you did? Uh, wh-why?",!گفتم نبرد رو متوقف کنين,واقعاً؟ چرا؟
62:47,62:49,You’ve been keeping secrets.,!گفتم نبرد رو متوقف کنين,داشتی پنهانکاری می‌کردی
62:49,62:51,I have?,,واقعاً؟
62:51,62:54,Just how long did you think you could hide it from me?,,فکر کردی تا کی می‌تونی ازم مخفیش کنی؟
62:55,62:56,I-I don’t even know what you’re talking...,!از سر راهم برين کنار,...نمی‌دونم منظورت چیه
62:56,63:02,Nothing happens on this island without me hearing about it.,!هيکاپ,هر اتفاقی توی این جزیره بیفته خبرش به گوش من می‌رسه
63:03,63:09,"So, let’s talk about that dragon.",,خب پس... بیا در مورد اون اژدها صحبت کنیم
63:09,63:10,"Oh, gods, Dad.",,یا خدایان، بابا
63:10,63:12,I’m-I’m-I’m so sorry.,,واقعاً متاسفم
63:12,63:14,I-I was gonna tell you sooner.,,می‌خواستم زودتر بهت بگم
63:14,63:15,I just didn’t know...,,...فقط نمی‌دونستم
63:21,63:23,You’re not upset?,,ناراحت نیستی؟
63:23,63:25,What? What?,,چی؟ چی؟
63:26,63:28,I was hoping for this.,!از اين طرف,امیدوار بودم این اتفاق بیفته
63:28,63:29,"- You were? - Oh, yes.",,واقعاً؟ - آره بابا -
63:30,63:33,"And believe me, it only gets better.",,و باور کن، از این بهترم میشه
63:33,63:35,Just wait till you spill,,فقط صبر کن تا برای اولین بار
63:35,63:37,a Nadder’s guts for the first time.,,دل و روده‌ی یه ندر رو بریزی بیرون
63:37,63:42,Or-or mount your first Gronckle head on a spear.,,یا برای اولین بار سر یه گرانکل رو بزنی سر نیزه
63:42,63:44,What a feeling.,,یه حسی داره که نگو
63:44,63:46,"You really had me going there, son.",,واقعاً گولم زده بودیا، پسرجون
63:46,63:50,All those years of the worst Viking,"!""خشم شب""",اون همه سال بدترین وایکینگی بودی
63:50,63:53,Berk has ever seen.,,که برک تابحال به خودش دیده
63:53,63:55,"Odin, it was rough.",,به اودین قسم، تحملش سخت بود
63:55,63:56,I almost gave up on you.,,نزدیک بود ازت قطع امید کنم
63:56,63:59,"And all the while, you were holding out on me.",,ولی تمام این مدت نشون نمی‌دادی چند مرده حلاجی
64:01,64:03,Thor almighty.,,ثور بگم چیکارت نکنه
64:03,64:05,Who would have thought that dragon training,,کی فکرش رو می‌کرد آخرش توی تمرینات اژدها
64:05,64:08,"would have been your place to shine, huh?",!خيلي خوب، دندون، بزن بريم بيا از اينجا بريم بيرون,بتونی خودی نشون بدی، ها؟
64:08,64:11,"Ah, you might even win Top Slayer.",!خيلي خوب، دندون، بزن بريم بيا از اينجا بريم بيرون,حتی شاید شکارچی برتر بشی
64:11,64:13,Just like your old man.,!برو، برو,درست مثل بابات
64:13,64:15,Who knows?,!نه، بابا، نه، اون بهتون صدمه نميزنه,اودین رو چه دیدی؟
64:15,64:16,You know...,!نه، بابا، نه، اون بهتون صدمه نميزنه,...می‌دونی
64:16,64:18,with you doing so well in the ring...,آره,حالا که توی میدان مبارزه ...داری اینقدر عالی پیش میری
64:19,64:20,I’m gonna... I’m gonna...,آره,...من دیگه... من دیگه میرم
64:20,64:22,- Sit. - Okay.,!بي دندون، وايسا,بشین - باشه -
64:22,64:25,We finally have something to talk about.,!نه! نه,بالاخره یه موضوعی برای صحبت کردن داریم
64:32,64:34,"So, I...",نه، نه، خواهش ميکنم. فقط بهش صدمه اي نزنين,...خب
64:44,64:47,"Oh! Oh, I, uh...",بندازينش پيش بقيه,...راستی! راستی
64:47,64:49,I brought you something...,بايد ميدونستم,...یه چیزی برات آوردم
64:50,64:52,"to... to, uh...",بايد نشانه ها رو ميديدم,...که... که
64:52,64:55,keep you safe in the ring.,بابا؟- !ما با هم يه قراري گذاشتيم-,توی میدان مبارزه ازت محافظت کنه
64:57,65:00,Your mother would have wanted you to have it.,...پس همه چيز تو اون ميدان يه حقه بود؟ يه دروغ بود؟,اگر مادرت بود دلش می‌خواست اینو داشته باشی
65:01,65:03,"W-Wow. Uh, thanks.",اشتباه بزرگي کردم بايد قبلاً بهتون مي گفتم,عجب. ممنون
65:03,65:05,It’s half of her breastplate.,اشتباه بزرگي کردم بايد قبلاً بهتون مي گفتم,از نصف سپر سینه‌ش ساخته شده
65:07,65:09,Matching set.,منو سرزنش کن، از دستم عصباني شو ولي خواهش ميکنم، فقط به بي دندون آسيبي نرسون,اینم نصف دیگه‌شه
65:09,65:11,Keeps her...,اون اژدها؟ اون چيزيه که در موردش نگراني؟,...اینطوری
65:11,65:13,"It keeps her close, you know?",اون اژدها؟ اون چيزيه که در موردش نگراني؟,اینطوری حس می‌کنم بهش نزدیکم، می‌دونی؟
65:15,65:17,"Wear it proudly, son.",!اون فقط داشت از من محافظت ميکرد اون خطرناک نيست,با افتخار سرت کن، پسرم
65:17,65:20,You’ve held up your end of the deal.,!اونا صدها نفر از ما رو کُشتن,به حرفت عمل کردی
65:25,65:26,Yeah.,اونا به ما حمله ميکنن، چون مجبورن,آره
65:26,65:29,"- Yeah. Tired. - Yeah, I’m gonna...",اگه اونا به اندازه کافي غذا نبرن خودشون خورده ميشن,آره. خسته‌ای - ...آره، می‌خوام -
65:29,65:31,"- I’m gonna get some s-sleep. - Uh, good talk.",اگه اونا به اندازه کافي غذا نبرن خودشون خورده ميشن,می‌خوام یه کم بخوابم - صحبت خوبی بود -
65:31,65:32,- Big day tomorrow. - Yeah.,توي جزيره اونا يه چيز ديگه هم هست، بابا ...اون يه موجودي شبيه اژدهاست که,فردا روز مهمی در پیش داری - آره -
65:32,65:34,"The Trial of Flame, and it takes a lot out of you.",توي جزيره اونا يه چيز ديگه هم هست، بابا ...اون يه موجودي شبيه اژدهاست که,آزمون آتشه و خیلی آدم رو خسته می‌کنه
65:34,65:36,"Yeah, Trial of Flames-- Flame.",توي جزيره اونا يه چيز ديگه هم هست، بابا ...اون يه موجودي شبيه اژدهاست که,آره، آزمون آتش‌... آتش
65:36,65:37,"- Good luck with that. - Yeah, thank you, thank you",يه جزيره؟ پس تو به آشيانه اونا رفتي؟,موفق باشی - ...آره، ممنون، ممنون بابت -
